brand_id,size_id,price,bar_id,published
29,2,2.2,360,true
29,6,2.9,360,true
29,4,2.2,360,true
29,2,2.7,,true
29,6,4.5,,true
80,4,3.35,,true
82,4,2.9,,true
79,4,2.9,,true
2,4,3,,true
8,4,2.9,,true
25,2,3,363,true
5,4,3.5,363,true
55,4,3.5,363,true
24,4,4,363,true
52,5,4,363,true
33,5,4,363,true
27,4,3.5,363,true
32,4,3.5,363,true
29,1,1.3,356,true
29,6,3.5,356,true
81,1,1.3,356,true
11,1,1.2,,true
13,1,1.3,,true
12,4,1.8,,true
34,4,1.6,,true
11,7,1.5,,true
11,6,2.5,,true
44,3,1.6,,true
6,3,1.3,,true
11,7,1.5,,true
11,1,1.2,,true
11,8,2.5,,true
13,1,1.3,,true
13,3,1.3,,true
34,4,2.2,,true
12,4,2.2,,true
25,4,2.2,,true
11,4,2.2,,true
11,1,1.2,,true
11,12,2.4,,true
34,4,1.5,,true
13,1,1.25,,true
6,3,1.25,,true
44,3,1.25,,true
60,1,0.4,,true
60,13,0.8,,true
65,4,1.5,,true
29,1,0.45,,true
29,6,1,,true
19,1,1,,true
42,1,1.2,,true
38,2,2.5,,true
41,4,2.5,,true
19,12,1.9,,true
38,1,1.2,,true
78,6,5,,true
11,15,2.8,,true
11,4,3,,true
25,4,3.5,,true
36,4,3.2,,true
24,15,2.8,,true
24,12,4.45,,true
32,15,2.8,,true
32,12,4.9,,true
53,4,3.8,,true
33,4,3.8,,true
33,6,4.9,,true
74,4,3.8,,true
63,3,3.8,,true
73,15,2.8,,true
73,12,4.9,,true
61,4,3.8,,true
55,4,3.8,,true
16,4,3.8,,true
29,1,1.35,423,true
29,2,2,423,true
29,3,1.4,423,true
33,15,2.5,,true
33,12,3.5,,true
25,12,3.5,,true
29,4,3.5,,true
32,12,3.5,,true
40,4,4,,true
52,5,5,,true
25,15,2.5,,true
32,15,2.5,,true
33,15,2.5,424,true
33,12,3.5,424,true
25,12,3.5,424,true
29,4,3.5,424,true
32,12,3.5,424,true
40,4,4,424,true
52,5,5,424,true
25,15,2.5,424,true
32,15,2.5,424,true
35,1,1.5,,true
35,2,2.35,,true
35,1,1.5,,true
35,2,2.35,,true
29,3,1.35,,true
29,4,2.2,,true
5,1,1.3,,true
40,4,2.5,,true
8,4,2.2,,true
29,1,1,,true
29,2,2,,true
29,3,0.8,,true
2,2,2.2,,true
40,4,2.8,,true
2,12,2.5,,true
2,2,2.2,,true
40,4,2.8,,true
2,12,2.5,,true
2,4,2.6,,true
25,1,2,,true
25,2,2.55,,true
24,12,5.45,,true
24,15,3.15,,true
7,4,4,,true
26,4,4,,true
29,1,1,,true
29,2,1.4,,true
29,6,2.5,,true
29,8,5,,true
29,1,1.5,,true
29,2,2,,true
29,4,2,,true
29,3,1.5,,true
29,6,3,,true
18,2,3,,true
38,4,4,,true
7,4,4,,true
15,4,4,,true
7,4,3.5,,true
10,4,3.5,,true
29,1,1.4,,true
29,2,2.5,,true
29,4,2.5,,true
29,6,3.5,,true
29,1,1.5,,true
29,2,2.5,,true
29,6,3.6,,true
25,2,2.8,,true
38,4,2.8,,true
25,4,2.8,,true
20,4,2.4,,true
29,1,1.4,,true
29,2,2.3,,true
29,4,2.4,,true
